"Wavelength, µm","T"
0.049594,0.017822393272517188
0.061993,0.010797308739772509
0.065255,0.008480035764136553
0.068881,0.006409272501436863
0.072932,0.0037569275217383107
0.077491,0.0007708308265474457
0.078472,0.00043599430111549207
0.079478,0.0002171156879547952
0.07999,0.0001354297752003963
0.08051,0.00006877387378073235
0.081036,0.000024945329091774206
0.081569,0.000004469039874084261
0.082109,5.461579846147008e-7
0.082657,5.12952214723877e-8
0.083774,1.5595544165394223e-11
0.084921,8.891577861790836e-16
0.086101,2.708033052556553e-19
0.088561,7.8645464177962845e-25
0.095373,1.5465552576783243e-34
0.10332,1.7435536327432766e-41
0.11271,4.703880154371549e-47
0.12399,1.379971415774912e-51
0.13776,2.6847722491874666e-55
0.15498,2.3353308371361415e-58
0.17712,7.196673063222372e-61
0.20664,5.86794732690882e-63
0.24797,1.2907740412595886e-64
0.30996,5.140536155959959e-66
0.32628,3.0964699164361843e-66
0.36466,1.6364672805509618e-66
0.41328,9.177100236573054e-67
0.4428,6.988525830136808e-67
0.47687,7.46342258304235e-67
0.5166,1.1478808805958566e-66
0.56357,2.0229910158328003e-66
0.61993,6.440198116282255e-66
0.65225,1.889602371846208e-65
0.68881,1.3774673591084375e-64
0.72932,2.9394516799825387e-63
0.77491,1.5743628950650812e-60
0.79478,2.5813306258523178e-58
0.81569,5.665046306490388e-56
0.83774,4.571997158332437e-54
0.88561,1.0041048640479055e-50
0.91166,1.8996305884656314e-50
0.93928,1.1188925293923708e-50
0.96863,8.369305563067502e-52
0.99988,1.516250753046917e-52
1.0332,5.652701261243515e-53
1.1271,7.713530750136548e-54
1.2399,1.2670316800770348e-54
1.3776,2.4731645673869924e-55
1.5498,7.388573525291984e-56
1.7712,3.675173264206889e-56
2.0664,3.8466780347639604e-56
2.4797,9.318909242466303e-56
2.7552,2.341441938546086e-55
3.0996,7.602745682186661e-55
3.2628,1.4766337047172998e-54
3.444,2.6117490269265984e-54
3.6466,5.1171665632904593e-54
3.8745,1.1086682959752458e-53
4.1328,2.560877609414703e-53
4.428,6.063402041859006e-53
4.7687,1.6067280579315448e-52
5.166,4.6239119237205075e-52
5.6357,1.3885480834626037e-51
6.1993,4.821265847005774e-51
6.8881,1.623655089078607e-50
7.7491,6.329786914080922e-50
8.8561,5.8107566654166905e-49
10.332,2.5889506890142626e-47
12.399,2.635779450813185e-45
13.776,6.829121399986739e-44
15.498,2.040996054145274e-42
17.712,1.2616162308798446e-40
19.075,1.1576991178558097e-39
20.664,8.088328574347618e-39
22.543,7.092662558956935e-38
24.797,5.3383599234566546e-37
27.552,9.839724222047247e-37
30.996,6.130622582373659e-36
33.333,8.481115474732241e-35
40,3.92121550218343e-32
44.444,1.2822976798638104e-30
50,6.469832371113153e-29
57.144,5.0560220016655566e-27
66.666,6.545071752769125e-25
80.001,1.2490384513321433e-22
99.996,4.576737276790759e-20
125,7.905410568111836e-18
137.76,6.312620483779375e-17
153.85,5.756167182020411e-16
177.12,7.455565980012723e-15
200,6.324455671630656e-14
